date,temp,precipprob,windspeed
05/09/2023,28.7,0,11
06/09/2023,29,100,9.3
07/09/2023,28.7,0,17.9
08/09/2023,25.9,100,14.9
09/09/2023,25.5,100,10.8
10/09/2023,23.5,100,12.7
11/09/2023,24.2,100,17.9
12/09/2023,24.3,0,13
13/09/2023,24.2,100,16.3
14/09/2023,23,100,17.7
15/09/2023,18.9,0,20.2
16/09/2023,20.9,0,21.6
17/09/2023,20.7,100,21.2
18/09/2023,19.3,100,14.4
19/09/2023,20,0,20.6
20/09/2023,20.7,0,14.4
21/09/2023,20.2,0,19.8
22/09/2023,19.7,0,28.7
23/09/2023,16.4,100,36.4
24/09/2023,17.8,100,36.3
25/09/2023,16.5,100,40
26/09/2023,15.8,100,23.5
27/09/2023,16.3,0,27.6
28/09/2023,16.1,100,25.5
29/09/2023,16.1,100,29.2
30/09/2023,17.1,100,20.2
01/10/2023,20.8,0,12.8
02/10/2023,21.6,0,12.8
03/10/2023,21.5,0,10.8
04/10/2023,22.3,0,14.3
05/10/2023,20.7,0,16.2
06/10/2023,20.6,100,14.5
07/10/2023,18.2,100,16.1
08/10/2023,13.8,0,28.5
09/10/2023,13.7,0,22.3
10/10/2023,15.1,100,19.8
11/10/2023,17.5,0,19.4
12/10/2023,17.8,0,12.5
13/10/2023,16,0,17.8
14/10/2023,12.9,100,20.1
15/10/2023,13.7,100,14.6
16/10/2023,14.1,0,14.7
17/10/2023,14.8,0,11.2
18/10/2023,15.6,0,10.9
19/10/2023,15.2,0,16.2
20/10/2023,16.6,100,16.3
21/10/2023,16.1,100,26.8
22/10/2023,13.2,0,25.3
23/10/2023,13.1,0,14.4
24/10/2023,14.8,0,14.4
25/10/2023,17,0,16.3
26/10/2023,20,0,14.5
27/10/2023,19.4,0,17.8
28/10/2023,21.8,0,14.5
29/10/2023,13.9,100,31
30/10/2023,13.7,100,15.8
31/10/2023,10.8,0,22.1
01/11/2023,9.2,100,16.4
02/11/2023,7.3,0,19.9
03/11/2023,10,0,18.2
04/11/2023,11.8,0,15.9
05/11/2023,13.9,0,10.8
06/11/2023,11.4,0,20.1
07/11/2023,14.9,100,17.8
08/11/2023,10.2,0,17.9
09/11/2023,12,0,16.3
10/11/2023,10.9,0,20.1
11/11/2023,9.8,0,16.1
12/11/2023,7,0,20.2
13/11/2023,7.5,0,17.8
14/11/2023,9.7,0,13.3
15/11/2023,9.2,0,19.9
16/11/2023,12.9,0,17.8
17/11/2023,14.8,0,14.7
18/11/2023,12.3,0,10
19/11/2023,9.1,0,20.1
20/11/2023,6.5,0,23.5
21/11/2023,6.5,100,28.7
22/11/2023,11.7,100,26.2
23/11/2023,10.2,0,14.8
24/11/2023,8.3,0,14.6
25/11/2023,3.4,0,11.1
26/11/2023,7.3,100,28.7
27/11/2023,8.5,100,22.4
28/11/2023,2.8,0,27.4
29/11/2023,1,0,26.2
30/11/2023,6.3,0,20.1
01/12/2023,7.2,100,14.7
02/12/2023,10.2,0,12.6
03/12/2023,9.5,100,27.5
04/12/2023,8.7,0,32.7
05/12/2023,5.7,0,14.2
06/12/2023,4.3,0,17.9
07/12/2023,2.6,0,18.3
08/12/2023,7,0,13
09/12/2023,10.5,0,10.9
10/12/2023,13.5,100,18.1
11/12/2023,6.2,100,13.6
12/12/2023,5,0,23.6
13/12/2023,5.8,0,25.8
14/12/2023,3.8,0,20.3
15/12/2023,7.9,0,20.1
16/12/2023,9.8,0,23.7
17/12/2023,10.7,100,27.1
18/12/2023,11.7,100,31
19/12/2023,4.4,0,21.8
20/12/2023,3.5,0,16.6
21/12/2023,3.9,0,20.3
22/12/2023,1,0,20.2
23/12/2023,4.4,0,16.1
24/12/2023,6.6,100,14
25/12/2023,7.5,0,14.5
26/12/2023,7.4,0,14.3
27/12/2023,7.8,100,25.3
28/12/2023,10.1,100,37.9
29/12/2023,9.5,100,21.3
30/12/2023,6,0,32.4
31/12/2023,5.5,0,18.2
01/01/2024,5.9,100,17.5
02/01/2024,3.5,0,14.6
03/01/2024,4,0,14.5
04/01/2024,4.2,0,11.4
05/01/2024,0.9,0,18.3
06/01/2024,1.7,100,31.7
07/01/2024,3.2,100,31
08/01/2024,4.9,0,13
09/01/2024,6.6,100,31.8
10/01/2024,9.3,100,37.1
11/01/2024,6.7,0,26.6
12/01/2024,6.6,100,32.6
13/01/2024,8.9,100,39.5
14/01/2024,2,0,31.1
15/01/2024,-2.5,100,18.1
16/01/2024,-1.7,100,22.5
17/01/2024,-4.8,0,27.6
18/01/2024,-2,0,24
19/01/2024,-0.5,100,20.3
20/01/2024,-4.7,0,13.5
21/01/2024,-2.8,0,18.9
22/01/2024,-0.3,0,25.4
23/01/2024,2.8,100,21.8
24/01/2024,5.6,100,14.4
25/01/2024,9.8,100,17.8
26/01/2024,6.4,100,25.4
27/01/2024,6.8,0,11
28/01/2024,4.1,100,32.1
29/01/2024,3.4,100,18.2
30/01/2024,2.6,0,16.1
31/01/2024,2.9,0,14.6
